Classification,Clustering,Classifier_Accuracy,Clustering_Accuracy,constant_threshold,resampling,feature_selection_k
Kernel SVM (sigmoid),KMeans,0.7600401606425703,0.7600401606425703,,False,32
K Nearest Neighbors,KMeans,0.4457831325301205,0.428714859437751,,False,64
Neural Network,KMeans,0.5913654618473895,0.5913654618473895,,False,64
Random Forest,KMeans,0.9608433734939759,0.9608433734939759,,False,64
Kernel SVM (linear),KMeans,0.7218875502008032,0.6676706827309237,,False,64
Kernel SVM (poly),KMeans,0.7299196787148595,0.7299196787148595,,False,64
Kernel SVM (rbf),KMeans,0.7299196787148595,0.7299196787148595,,False,64
Kernel SVM (sigmoid),KMeans,0.7118473895582329,0.7068273092369477,,False,64
K Nearest Neighbors,KMeans,0.36445783132530113,0.3594377510040161,,False,128
Neural Network,KMeans,0.5251004016064258,0.5251004016064258,,False,128
Random Forest,KMeans,0.9738955823293173,0.9738955823293173,,False,128
Kernel SVM (linear),KMeans,0.7269076305220884,0.6767068273092369,,False,128
Kernel SVM (poly),KMeans,0.7208835341365462,0.6726907630522089,,False,128
Kernel SVM (rbf),KMeans,0.7530120481927711,0.7530120481927711,,False,128
Kernel SVM (sigmoid),KMeans,0.7218875502008032,0.6224899598393574,,False,128
K Nearest Neighbors,KMeans,0.3614457831325301,0.3614457831325301,,False,256
Neural Network,KMeans,0.5020080321285141,0.5020080321285141,,False,256
Random Forest,KMeans,0.9849397590361445,0.9849397590361445,,False,256
Kernel SVM (linear),KMeans,0.6194779116465864,0.6054216867469879,,False,256
Kernel SVM (poly),KMeans,0.5110441767068273,0.5110441767068273,,False,256
Kernel SVM (rbf),KMeans,0.608433734939759,0.608433734939759,,False,256
Kernel SVM (sigmoid),KMeans,0.6194779116465864,0.6194779116465864,,False,256
